\INPUT_FILE = /exodata/ETSS-prep/KELT/doN04/raw/KELT_N04_lc_024754_V01_east_raw.dat
\INPUT_TYPE = "RAW"
\START_DATE = "Fri Oct 27, 07:24:43 2006"               
\STOP_DATE = "Mon Nov 24, 08:15:02 2008"               
\fixlen = T
\NUMRECORDS = 1834     
\
\ This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu 
\ Wed Mar 02, 05:41:31 2016
\ Documentation for the KELT Survey dataset can be found at http://exoplanetarchive.ipac.caltech.edu/docs/KELT.html
\
|          TIME|     MAG|MAG_ERR|
|          real|    real|   real|
|             d|     mag|    mag|
|          null|    null|   null|
 2454108.655167 15.36000 0.02061 
 2454108.659886 15.34826 0.02064 
 2454108.664607 15.36603 0.02100 
 2454108.678176 15.34324 0.02006 
 2454108.683740 15.34625 0.01988 
 2454108.689305 15.37297 0.02035 
 2454108.694871 15.36626 0.02039 
 2454108.700437 15.34574 0.02312 
 2454116.649074 15.31541 0.02346 
 2454116.654641 15.34962 0.02071 
 2454116.660207 15.30479 0.02080 
 2454116.665774 15.34575 0.02024 
 2454116.671340 15.31342 0.02175 
 2454116.676906 15.36864 0.02148 
 2454116.679115 15.33468 0.02063 
 2454116.683837 15.32364 0.02002 
 2454116.688560 15.37340 0.02101 
 2454116.693284 15.32544 0.02178 
 2454116.698007 15.32590 0.01900 
 2454116.702729 15.35523 0.02065 
 2454116.707450 15.31335 0.02090 
 2454116.712175 15.34436 0.02129 
 2454116.716896 15.33076 0.02005 
 2454116.721617 15.34072 0.01797 
 2454116.726339 15.31408 0.01974 
 2454116.731060 15.32923 0.01910 
 2454117.600133 15.37117 0.02167 
 2454117.604863 15.29849 0.02361 
 2454117.609592 15.32676 0.02360 
 2454117.614319 15.31207 0.02248 
 2454117.619047 15.33894 0.02176 
 2454117.623772 15.35602 0.02079 
 2454117.628499 15.30326 0.02250 
 2454117.633226 15.33600 0.02147 
 2454117.640234 15.35134 0.02036 
 2454117.644964 15.38169 0.02260 
 2454117.649694 15.31679 0.01997 
 2454117.655269 15.36884 0.02047 
 2454117.660841 15.33521 0.01962 
 2454117.666417 15.36391 0.02065 
 2454117.668624 15.34929 0.01989 
 2454117.673359 15.32406 0.02119 
 2454117.678089 15.35084 0.02128 
 2454117.687549 15.34137 0.01945 
 2454117.701737 15.37402 0.01912 
 2454117.711195 15.30819 0.01926 
 2454117.715922 15.33998 0.02007 
 2454140.605517 15.37804 0.01978 
 2454140.610244 15.34174 0.01922 
 2454140.614971 15.38228 0.01978 
 2454140.619698 15.37020 0.01907 
 2454140.624425 15.36261 0.01877 
 2454140.629152 15.36107 0.01773 
 2454140.633879 15.36677 0.01758 
 2454140.638606 15.35356 0.01877 
 2454140.643331 15.35160 0.01992 
 2454140.648051 15.34381 0.01944 
 2454140.652777 15.35839 0.01859 
 2454140.657510 15.36401 0.01791 
 2454140.662236 15.35035 0.01842 
 2454152.611786 15.35223 0.02026 
 2454152.616514 15.36905 0.02030 
 2454152.621239 15.37504 0.01912 
 2454152.625965 15.34296 0.01930 
 2454152.630692 15.34547 0.01933 
 2454124.685836 15.42462 0.02121 
 2454124.690567 15.40625 0.02164 
 2454124.695297 15.40185 0.02121 
 2454124.700028 15.39418 0.02149 
 2454124.704758 15.41618 0.02118 
 2454124.709487 15.36418 0.02177 
 2454147.608995 15.34265 0.02230 
 2454147.613723 15.35063 0.02140 
 2454147.623176 15.35119 0.02171 
 2454147.637361 15.38566 0.02056 
 2454147.642089 15.37681 0.02065 
 2454147.646817 15.32577 0.02044 
 2454148.609685 15.37624 0.02163 
 2454148.614413 15.35859 0.01883 
 2454148.619142 15.36733 0.01930 
 2454148.623868 15.33456 0.01988 
 2454148.628598 15.33084 0.01956 
 2454148.633325 15.33748 0.01863 
 2454148.638053 15.33742 0.01945 
 2454148.642780 15.36602 0.01940 
 2454362.919918 15.37053 0.01955 
 2454362.924616 15.38494 0.01987 
 2454362.929315 15.35201 0.01958 
 2454362.934010 15.38955 0.01785 
 2454362.938700 15.34839 0.01814 
 2454362.943406 15.36457 0.01946 
 2454362.948103 15.37754 0.01935 
 2454362.952802 15.36291 0.01656 
 2454362.957491 15.33630 0.01650 
 2454363.915932 15.36034 0.01864 
 2454363.920637 15.35577 0.01821 
 2454363.925343 15.37189 0.01833 
 2454363.930050 15.36433 0.01860 
 2454363.934756 15.35975 0.01839 
 2454363.939464 15.37929 0.01792 
 2454363.944171 15.35823 0.01813 
 2454363.948877 15.36754 0.01866 
 2454363.953583 15.40951 0.01845 
 2454363.958290 15.34274 0.01890 
 2454363.962998 15.37277 0.01772 
 2454363.967696 15.38730 0.01915 
 2454363.972411 15.35167 0.01787 
 2454363.977962 15.35649 0.01833 
 2454363.983515 15.35496 0.01813 
 2454363.989069 15.36210 0.01851 
 2454363.994620 15.37353 0.01859 
 2454363.996820 15.33808 0.01823 
 2454378.965419 15.40975 0.02118 
