\INPUT_FILE = /exodata/ETSS-prep/KELT/s12/raw/KELT_S12_lc_025329_V01_west_raw.dat
\INPUT_TYPE = "RAW"
\START_DATE = "Mon Mar 29, 03:20:20 2010"               
\STOP_DATE = "Sat Sep 13, 18:14:15 2014"               
\fixlen = T
\NUMRECORDS = 1689     
\
\ This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu 
\ Wed Jan 08, 16:08:16 2020
\ Documentation for the KELT Survey dataset can be found at http://exoplanetarchive.ipac.caltech.edu/docs/KELT.html
\
|          TIME|     MAG|MAG_ERR|
|          real|    real|   real|
|             d|     mag|    mag|
|          null|    null|   null|
 2455731.478645 14.22573 0.03428 
 2455731.483229 14.18636 0.03353 
 2455731.487935 14.21721 0.03525 
 2455731.490276 14.17464 0.03561 
 2455731.492566 14.24560 0.03430 
 2455733.417815 14.07832 0.02533 
 2455733.431851 14.05867 0.02443 
 2455733.445907 14.10587 0.02459 
 2455733.457722 14.15227 0.02398 
 2455733.469673 14.11155 0.02531 
 2455733.479153 14.10054 0.02582 
 2455733.490920 14.09596 0.02564 
 2455733.502706 14.12578 0.02665 
 2455734.415549 14.22348 0.02246 
 2455734.429591 14.22380 0.02320 
 2455734.443666 14.16503 0.02394 
 2455734.455480 14.23639 0.02628 
 2455734.467436 14.10927 0.02647 
 2455734.476936 14.14358 0.02523 
 2455734.488672 14.18880 0.02702 
 2455734.500434 14.08694 0.02354 
 2455739.400476 14.05156 0.01681 
 2455739.414551 14.07834 0.01778 
 2455739.430813 14.09094 0.01944 
 2455740.398204 14.08469 0.01906 
 2455740.412275 14.09638 0.02034 
 2455740.428527 14.09246 0.01945 
 2455740.442565 14.13710 0.01960 
 2455740.454342 14.12100 0.02010 
 2455740.468359 14.09605 0.02222 
 2455740.484498 14.07417 0.02393 
 2455743.370475 14.10190 0.01495 
 2455743.523383 14.11619 0.01673 
 2455744.370168 14.08232 0.01555 
 2455744.391593 14.07697 0.01636 
 2455744.407816 14.06771 0.01592 
 2455744.424058 14.07327 0.01584 
 2455744.438056 14.11672 0.01534 
 2455744.449811 14.12301 0.01579 
 2455744.463846 14.10770 0.01628 
 2455749.435748 14.08790 0.02000 
 2455749.449691 14.12967 0.02014 
 2455751.350770 14.15976 0.02764 
 2455751.362915 14.11056 0.02642 
 2455751.370543 14.06055 0.02557 
 2455751.378176 14.07876 0.02522 
 2455751.387879 14.09178 0.02502 
 2455751.399777 14.08311 0.02530 
 2455751.411674 14.13560 0.02608 
 2455751.423587 14.14554 0.02663 
 2455751.433243 14.09805 0.02448 
 2455751.445116 14.11466 0.02653 
 2455761.338303 14.07609 0.02846 
 2455761.352629 14.07174 0.02953 
 2455761.367121 14.08495 0.02904 
 2455761.379123 14.09091 0.03278 
 2455761.391259 14.16224 0.03148 
 2455761.400961 14.16062 0.03090 
 2455761.413000 14.10707 0.02923 
 2455761.425018 14.08437 0.02972 
 2455762.320175 14.12998 0.01956 
 2455762.341780 14.09831 0.02049 
 2455762.358121 14.08900 0.02496 
 2455762.374647 14.08382 0.02683 
 2455762.388731 14.12677 0.02549 
 2455762.400516 14.12239 0.02584 
 2455762.414583 14.12815 0.02669 
 2455763.333662 14.05141 0.01962 
 2455763.347807 14.07678 0.01950 
 2455763.364185 14.07222 0.01955 
 2455763.378355 14.12903 0.02006 
 2455763.390148 14.11971 0.02235 
 2455763.404213 14.12373 0.02276 
 2455763.420427 14.09437 0.02552 
 2455764.330163 14.14539 0.01769 
 2455764.344341 14.14727 0.01776 
 2455764.360877 14.23524 0.01746 
 2455764.374975 14.31182 0.01774 
 2455764.389206 14.25184 0.01769 
 2455764.401061 14.22704 0.01695 
 2455764.417394 14.23416 0.01945 
 2455765.331747 14.07473 0.01820 
 2455765.348080 14.08420 0.01725 
 2455765.364434 14.10294 0.01772 
 2455765.378501 14.08840 0.01735 
 2455765.390313 14.08727 0.01785 
 2455765.404388 14.10280 0.01895 
 2455765.418556 14.12256 0.01850 
 2455772.293695 14.07534 0.01921 
 2455772.314930 14.08149 0.01880 
 2455772.330965 14.10394 0.02016 
 2455772.347062 14.13018 0.01967 
 2455772.360920 14.11159 0.01951 
 2455772.372563 14.12268 0.02049 
 2455772.386396 14.10375 0.01936 
 2455773.307406 14.07133 0.01986 
 2455773.321334 14.01783 0.02070 
 2455773.337396 14.06323 0.02069 
 2455773.351227 14.13220 0.02213 
 2455773.362841 14.08408 0.02234 
 2455773.376798 14.09233 0.02096 
 2455773.392811 14.06644 0.01990 
 2455774.304505 14.05062 0.02027 
 2455774.318465 14.07507 0.01937 
 2455774.334572 14.10739 0.01938 
 2455774.348431 14.07388 0.01975 
 2455774.360052 14.08881 0.01955 
 2455774.373927 14.13043 0.01977 
 2455774.389842 14.10723 0.01936 
 2455775.297122 14.25617 0.01978 
 2455775.311056 14.22250 0.01821 
 2455775.329297 14.23133 0.01765 
 2455775.343133 14.23870 0.01832 
 2455775.357199 14.22716 0.01831 
 2455775.368829 14.27633 0.01991 
 2455775.384858 14.21996 0.01905 
 2455776.280353 14.11313 0.02184 
 2455776.299449 14.08758 0.02147 
 2455776.311144 14.07073 0.02072 
 2455776.325035 14.10864 0.02046 
 2455776.338876 14.10873 0.02004 
 2455776.352728 14.14236 0.02169 
 2455776.378214 14.09241 0.01613 
 2455777.280406 14.07993 0.02399 
 2455777.299530 14.06433 0.02407 
 2455777.311187 14.08410 0.02242 
 2455777.338829 14.08475 0.01993 
 2455777.352770 14.08593 0.02002 
 2455777.364322 14.09436 0.02039 
 2455777.380218 14.05966 0.02012 
 2455787.266370 14.15133 0.04249 
 2455787.280525 14.10899 0.04422 
 2455787.292576 14.10731 0.04274 
 2455788.264706 14.08396 0.03513 
 2455788.278672 14.12470 0.03533 
 2455788.292621 14.04096 0.03550 
 2455788.304303 14.07260 0.03558 
 2455788.315957 14.06129 0.03643 
 2455788.325355 14.08473 0.03556 
 2455788.336963 14.16770 0.03737 
 2455788.350653 14.11004 0.03625 
 2455790.244673 14.09566 0.02079 
 2455790.265783 14.06719 0.01927 
 2455790.281757 14.07857 0.01961 
 2455790.297798 14.06237 0.02625 
 2455790.311605 14.06770 0.02801 
 2455790.323147 14.10641 0.02904 
 2455790.336945 14.05942 0.02964 
 2455791.255500 14.11974 0.02105 
 2455791.269657 14.07487 0.02040 
 2455791.300122 14.15035 0.02179 
 2455791.314429 14.12869 0.01562 
 2455791.326268 14.09122 0.01953 
 2455791.342468 14.11384 0.02498 
 2455793.321651 14.12459 0.01868 
 2455793.337839 14.12335 0.02018 
 2455794.232654 14.07920 0.02332 
 2455794.254199 14.07427 0.02191 
 2455794.270532 14.08293 0.02241 
 2455794.286906 14.05689 0.02256 
 2455794.300979 14.13772 0.02174 
 2455794.312792 14.13361 0.02197 
 2455794.326871 14.12812 0.02086 
 2455798.234754 14.14214 0.02130 
