\INPUT_FILE = /stage/nexsci-exo-data-prep/ETSS-prep/KELT/s35/raw/KELT_S35_lc_027682_V01_west_raw.dat
\INPUT_TYPE = "RAW"
\START_DATE = "Fri May 10, 17:31:41 2013"               
\STOP_DATE = "Thu Jun 01, 16:57:54 2017"               
\fixlen = T
\NUMRECORDS = 1386     
\
\ This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu 
\ Mon Oct 28, 13:52:03 2019
\ Documentation for the KELT Survey dataset can be found at http://exoplanetarchive.ipac.caltech.edu/docs/KELT.html
\
|          TIME|     MAG|MAG_ERR|
|          real|    real|   real|
|             d|     mag|    mag|
|          null|    null|   null|
 2457090.416435 13.14243 0.01467 
 2457090.426016 13.14448 0.01434 
 2457090.441181 13.14526 0.01497 
 2457091.353507 13.12054 0.01273 
 2457092.325635 13.10379 0.01034 
 2457092.378380 13.13462 0.01208 
 2457092.395617 13.13030 0.01224 
 2457092.408255 13.13541 0.01214 
 2457092.423385 13.12002 0.01222 
 2457092.435275 13.13633 0.01291 
 2457095.314415 13.07207 0.00970 
 2457095.349556 13.12606 0.00916 
 2457095.373617 13.12860 0.00965 
 2457095.397628 13.14009 0.00962 
 2457097.288264 13.19483 0.00964 
 2457097.321734 13.22479 0.00949 
 2457097.345796 13.23983 0.00467 
 2457097.369774 13.27462 0.00953 
 2457097.396348 13.30276 0.00950 
 2457100.306747 13.13177 0.01015 
 2457100.330700 13.14797 0.00989 
 2457100.352434 13.14170 0.00927 
 2457101.327234 13.12270 0.00982 
 2457101.348807 13.13336 0.00982 
 2457101.372794 13.17387 0.00702 
 2457101.409195 13.12672 0.01271 
 2457102.286476 13.20616 0.00926 
 2457102.317154 13.25679 0.01012 
 2457102.341929 13.26934 0.00792 
 2457102.365985 13.30698 0.00943 
 2457102.387762 13.34107 0.00927 
 2457103.281886 13.12732 0.01022 
 2457103.314286 13.14418 0.01015 
 2457103.339033 13.15343 0.01003 
 2457103.363176 13.12151 0.00980 
 2457103.385029 13.14111 0.01000 
 2457103.405312 13.14084 0.00969 
 2457105.305394 13.14559 0.01014 
 2457105.329384 13.16425 0.00971 
 2457105.353504 13.15578 0.00973 
 2457105.375333 13.18169 0.00937 
 2457106.256244 13.22150 0.01028 
 2457106.278198 13.24365 0.01113 
 2457106.299831 13.20732 0.01074 
 2457106.324035 13.22180 0.01029 
 2457106.348081 13.19529 0.01011 
 2457106.369855 13.19182 0.00979 
 2457106.392452 13.19875 0.00942 
 2457107.275152 13.16366 0.01081 
 2457107.290037 13.15366 0.01076 
 2457107.309348 13.12675 0.01039 
 2457107.326327 13.15860 0.01023 
 2457107.345982 13.16510 0.00997 
 2457107.367700 13.15404 0.00934 
 2457107.398977 13.14265 0.00923 
 2457115.308564 13.15170 0.02012 
 2457115.325762 13.15242 0.01986 
 2457115.338290 13.15977 0.02012 
 2457116.263457 13.15414 0.01788 
 2457116.283126 13.10877 0.01769 
 2457116.300302 13.12956 0.01852 
 2457119.259693 13.30684 0.01189 
 2457119.279253 13.25398 0.01261 
 2457119.305069 13.25408 0.01305 
 2457119.322383 13.22847 0.01344 
 2457120.260175 13.10838 0.01050 
 2457120.282241 13.13212 0.01154 
 2457120.304212 13.10994 0.01252 
 2457120.323869 13.10996 0.01302 
 2457120.338960 13.10090 0.01320 
 2457121.260415 13.14369 0.00955 
 2457121.284743 13.16760 0.00929 
 2457121.309080 13.13429 0.01073 
 2457121.328917 13.13615 0.01175 
 2457121.349665 13.15326 0.01239 
 2457122.341885 13.46168 0.01070 
 2457125.256386 13.14446 0.01132 
 2457125.281142 13.11969 0.01099 
 2457125.305300 13.12744 0.01031 
 2457125.324864 13.12571 0.01044 
 2457125.345259 13.15015 0.01012 
 2457126.257070 13.13137 0.01058 
 2457126.280918 13.14495 0.01010 
 2457126.306361 13.14969 0.01011 
 2457126.344454 13.14597 0.00951 
 2457127.254052 13.51350 0.00929 
 2457127.275941 13.49398 0.00875 
 2457127.309978 13.48396 0.00875 
 2457127.340565 13.42485 0.00883 
 2457128.253127 13.09806 0.01060 
 2457128.275013 13.10836 0.01060 
 2457129.252625 13.14880 0.00932 
 2457129.274490 13.14451 0.00821 
 2457129.298705 13.13040 0.00905 
 2457129.320824 13.15443 0.00878 
 2457130.254990 13.40613 0.00907 
 2457130.280102 13.42571 0.00895 
 2457130.304318 13.43408 0.00879 
 2457130.327309 13.45392 0.00910 
 2457131.254723 13.13668 0.01025 
 2457131.278935 13.11931 0.01010 
 2457131.300936 13.14520 0.00973 
 2457131.323828 13.15113 0.00988 
 2457132.251432 13.16158 0.01055 
 2457132.275658 13.12743 0.00904 
 2457132.319528 13.16287 0.00982 
 2457133.251121 13.12462 0.01079 
 2457133.275208 13.11952 0.01043 
 2457133.312105 13.15092 0.00987 
 2457134.318806 13.14270 0.01039 
 2457141.230549 13.15546 0.01590 
